"sales_id","total_price","quantity","price_per_unit","order_date","product_name"
0,212,2,106,"2021-08-30","Chambray"
1,118,1,118,"2021-08-30","Puffer"
2,288,3,96,"2021-08-30","Oxford Cloth"
3,212,2,106,"2021-08-30","Wool"
4,339,3,113,"2021-08-30","Parka"
5,318,3,106,"2021-08-30","Wool"
6,96,1,96,"2021-02-03","Drawstring"
7,113,1,113,"2021-02-03","Parka"
8,345,3,115,"2021-02-03","Cropped"
9,105,1,105,"2021-02-03","Pleated"
10,273,3,91,"2021-02-03","Linen"
11,198,2,99,"2021-02-03","High-Waisted"
12,104,1,104,"2021-10-08","Dress"
13,192,2,96,"2021-10-08","Oxford Cloth"
14,212,2,106,"2021-10-08","Wool"
15,90,1,90,"2021-05-06","Relaxed Leg"
16,297,3,99,"2021-05-06","High-Waisted"
17,109,1,109,"2021-05-06","Peacoat"
18,288,3,96,"2021-05-06","Drawstring"
19,192,2,96,"2021-05-06","Oxford Cloth"
20,182,2,91,"2021-03-23","Linen"
21,236,2,118,"2021-03-23","Puffer"
22,288,3,96,"2021-03-23","Oxford Cloth"
23,351,3,117,"2021-03-23","Shearling"
24,315,3,105,"2021-03-23","Pleated"
25,279,3,93,"2021-03-23","Coach"
26,279,3,93,"2021-03-23","Coach"
27,113,1,113,"2021-03-23","Parka"
28,208,2,104,"2021-09-09","Dress"
29,236,2,118,"2021-09-09","Puffer"
30,106,1,106,"2021-09-09","Chambray"
31,182,2,91,"2021-09-09","Pullover"
32,226,2,113,"2021-04-05","Chinos"
33,297,3,99,"2021-04-05","High-Waisted"
34,109,1,109,"2021-04-12","Peacoat"
35,190,2,95,"2021-04-12","Polo"
36,98,1,98,"2021-05-01","Camp Collared"
37,236,2,118,"2021-05-01","Puffer"
38,119,1,119,"2021-05-01","Trench Coat"
39,180,2,90,"2021-05-01","Relaxed Leg"
40,288,3,96,"2021-05-01","Drawstring"
41,186,2,93,"2021-05-01","Joggers"
42,208,2,104,"2021-05-01","Dress"
43,327,3,109,"2021-10-15","Mandarin Collar"
44,226,2,113,"2021-10-15","Chinos"
45,321,3,107,"2021-10-15","Denim"
46,188,2,94,"2021-06-15","Cords"
47,273,3,91,"2021-06-15","Pullover"
48,91,1,91,"2021-06-30","Pullover"
49,186,2,93,"2021-06-30","Coach"
50,339,3,113,"2021-06-30","Chinos"
51,98,1,98,"2021-06-30","Camp Collared"
52,212,2,106,"2021-10-15","Chambray"
53,354,3,118,"2021-10-15","Flannel"
54,182,2,91,"2021-10-15","Pullover"
55,117,1,117,"2021-10-15","Shearling"
56,224,2,112,"2021-10-15","Tracksuit Bottoms"
57,218,2,109,"2021-10-15","Peacoat"
58,276,3,92,"2021-10-15","Denim"
59,210,2,105,"2021-03-29","Pleated"
60,318,3,106,"2021-03-29","Chambray"
61,184,2,92,"2021-03-29","Denim"
62,354,3,118,"2021-03-29","Flannel"
63,188,2,94,"2021-03-29","Cords"
64,339,3,113,"2021-09-22","Parka"
65,315,3,105,"2021-09-22","Pleated"
66,210,2,105,"2021-09-22","Cuban Collar"
