"product_type","product_name","size","gender","age","city","state","country","total_quantity_sold"
"Shirt","Linen","S","Non-binary",74,"West Lukeshire","New South Wales","Australia",8
"Jacket","Peacoat","S","Genderfluid",68,"Beahanfurt","Northern Territory","Australia",7
"Jacket","Shearling","XS","Non-binary",63,"Lake Madelineton","Western Australia","Australia",6
"Jacket","Shearling","XL","Genderqueer",69,"Beahanport","Northern Territory","Australia",6
"Trousers","Cords","L","Polygender",58,"Joelmouth","Australian Capital Territory","Australia",6
"Shirt","Polo","M","Female",50,"West Addison","Northern Territory","Australia",6
"Trousers","Wool","L","Genderqueer",43,"Kiehnfurt","South Australia","Australia",6
"Trousers","Drawstring","XL","Genderqueer",76,"Rubyfort","Tasmania","Australia",6
"Trousers","Joggers","L","Genderfluid",38,"New Emmastad","South Australia","Australia",6
"Shirt","Polo","XL","Polygender",66,"South Clairetown","Queensland","Australia",6
"Jacket","Leather","L","Polygender",40,"Hackettland","South Australia","Australia",6
"Jacket","Cardigan","XS","Male",35,"Jettstad","Australian Capital Territory","Australia",6
"Jacket","Windbreaker","XL","Polygender",58,"Joelmouth","Australian Capital Territory","Australia",6
"Trousers","High-Waisted","XL","Agender",70,"Lake Rose","Western Australia","Australia",6
"Shirt","Flannel","L","Genderfluid",45,"West Finnberg","Australian Capital Territory","Australia",6
"Shirt","Camp Collared","M","Non-binary",68,"Port Harrychester","Western Australia","Australia",6
"Shirt","Chambray","M","Non-binary",68,"Port Harrychester","Western Australia","Australia",6
"Shirt","Casual Slim Fit","XL","Non-binary",73,"Port Molly","Tasmania","Australia",6
"Trousers","High-Waisted","S","Agender",25,"Islamouth","Western Australia","Australia",5
"Shirt","Mandarin Collar","XL","Genderfluid",80,"Port Aaronton","Queensland","Australia",5
"Shirt","Denim","XS","Genderfluid",30,"Kaiview","New South Wales","Australia",5
"Trousers","Slim-Fit","L","Genderqueer",34,"Port Annabelle","Northern Territory","Australia",5
"Jacket","Trench Coat","M","Polygender",69,"South Tylermouth","Northern Territory","Australia",5
"Trousers","Joggers","S","Genderqueer",27,"Scottview","New South Wales","Australia",5
"Shirt","Dress","L","Male",23,"O'keefeton","Tasmania","Australia",5
"Shirt","Linen","L","Female",53,"Hallshire","Western Australia","Australia",5
"Trousers","Pleated","XS","Female",57,"East Matthewville","New South Wales","Australia",5
"Shirt","Polo","S","Agender",27,"West Joelmouth","Western Australia","Australia",5
"Shirt","Mandarin Collar","L","Genderfluid",32,"East Max","Tasmania","Australia",5
"Trousers","Cargo Pants","XL","Genderqueer",76,"Rubyfort","Tasmania","Australia",5
"Shirt","Oxford Cloth","XS","Genderfluid",59,"West Lucy","New South Wales","Australia",5
"Shirt","Chambray","XS","Non-binary",31,"South Callum","Tasmania","Australia",5
